rank,k_eff,cost_usd_per_kg,density_g_per_cm3,num_components,total_mass_g,porosity_pct,masses_json,display_line
1,0.0001,5.24,0.1464,4,370.63,88.2,"{""ceramic_fiber"": 181.24, ""fumed_silica"": 15.45, ""graphene"": 0.91, ""gypsum"": 172.91}",1. k=0.00010 | $5.24/kg | 4 comp
2,0.0001,5.24,0.1464,4,361.81,88.2,"{""ceramic_fiber"": 176.61, ""fumed_silica"": 15.33, ""graphene"": 0.9, ""gypsum"": 168.78}",2. k=0.00010 | $5.24/kg | 4 comp
3,0.0001,5.24,0.1483,4,384.97,88.1,"{""ceramic_fiber"": 184.76, ""fumed_silica"": 18.39, ""graphene"": 0.94, ""gypsum"": 180.74}",3. k=0.00010 | $5.24/kg | 4 comp
4,0.0001,5.24,0.1483,4,361.95,88.1,"{""ceramic_fiber"": 174.02, ""fumed_silica"": 16.95, ""graphene"": 0.92, ""gypsum"": 169.9}",4. k=0.00010 | $5.24/kg | 4 comp
5,0.0001,5.24,0.1487,4,405.27,88.0,"{""ceramic_fiber"": 193.41, ""fumed_silica"": 20.21, ""graphene"": 0.92, ""gypsum"": 190.57}",5. k=0.00010 | $5.24/kg | 4 comp
6,0.0001,5.24,0.1488,4,374.55,88.0,"{""ceramic_fiber"": 178.87, ""fumed_silica"": 18.46, ""graphene"": 0.91, ""gypsum"": 176.12}",6. k=0.00010 | $5.24/kg | 4 comp
7,0.0001,5.24,0.1488,4,418.56,88.0,"{""ceramic_fiber"": 200.38, ""fumed_silica"": 20.17, ""graphene"": 1.03, ""gypsum"": 196.82}",7. k=0.00010 | $5.24/kg | 4 comp
8,0.0001,5.24,0.1489,4,378.46,88.0,"{""ceramic_fiber"": 181.0, ""fumed_silica"": 18.38, ""graphene"": 0.95, ""gypsum"": 177.99}",8. k=0.00010 | $5.24/kg | 4 comp
9,0.0001,5.24,0.1491,4,398.07,88.0,"{""ceramic_fiber"": 190.35, ""fumed_silica"": 19.25, ""graphene"": 1.05, ""gypsum"": 187.25}",9. k=0.00010 | $5.24/kg | 4 comp
10,0.0001,5.24,0.1493,4,351.26,88.0,"{""ceramic_fiber"": 167.38, ""fumed_silica"": 17.42, ""graphene"": 0.9, ""gypsum"": 165.39}",10. k=0.00010 | $5.24/kg | 4 comp
11,0.0001,5.24,0.1494,4,372.16,88.0,"{""ceramic_fiber"": 177.41, ""fumed_silica"": 18.34, ""graphene"": 0.93, ""gypsum"": 175.29}",11. k=0.00010 | $5.24/kg | 4 comp
12,0.0001,5.24,0.1495,4,406.09,88.0,"{""ceramic_fiber"": 192.27, ""fumed_silica"": 21.27, ""graphene"": 0.95, ""gypsum"": 191.45}",12. k=0.00010 | $5.24/kg | 4 comp
13,0.0001,5.24,0.1497,4,361.69,88.0,"{""ceramic_fiber"": 171.69, ""fumed_silica"": 18.38, ""graphene"": 0.92, ""gypsum"": 170.54}",13. k=0.00010 | $5.24/kg | 4 comp
14,0.0001,5.24,0.1509,4,368.2,87.9,"{""ceramic_fiber"": 173.35, ""fumed_silica"": 19.5, ""graphene"": 0.94, ""gypsum"": 174.17}",14. k=0.00010 | $5.24/kg | 4 comp
15,0.0001,5.24,0.1513,4,373.4,87.9,"{""ceramic_fiber"": 174.75, ""fumed_silica"": 20.6, ""graphene"": 0.94, ""gypsum"": 176.95}",15. k=0.00010 | $5.24/kg | 4 comp
16,0.0001,5.24,0.1532,4,358.21,87.8,"{""ceramic_fiber"": 165.31, ""fumed_silica"": 21.08, ""graphene"": 0.9, ""gypsum"": 170.76}",16. k=0.00010 | $5.24/kg | 4 comp
17,0.0001,5.25,0.1435,4,356.61,88.3,"{""ceramic_fiber"": 177.09, ""fumed_silica"": 13.66, ""graphene"": 0.9, ""gypsum"": 164.8}",17. k=0.00010 | $5.25/kg | 4 comp
18,0.0001,5.25,0.1452,4,406.05,88.2,"{""ceramic_fiber"": 198.26, ""fumed_silica"": 17.84, ""graphene"": 0.93, ""gypsum"": 188.88}",18. k=0.00010 | $5.25/kg | 4 comp
19,0.0001,5.25,0.1471,4,349.23,88.1,"{""ceramic_fiber"": 168.97, ""fumed_silica"": 15.92, ""graphene"": 0.94, ""gypsum"": 163.27}",19. k=0.00010 | $5.25/kg | 4 comp
20,0.0001,5.25,0.1476,4,358.98,88.1,"{""ceramic_fiber"": 173.55, ""fumed_silica"": 16.26, ""graphene"": 0.95, ""gypsum"": 168.03}",20. k=0.00010 | $5.25/kg | 4 comp
21,0.0001,5.25,0.1484,4,364.95,88.1,"{""ceramic_fiber"": 174.85, ""fumed_silica"": 17.68, ""graphene"": 0.96, ""gypsum"": 171.32}",21. k=0.00010 | $5.25/kg | 4 comp
22,0.0001,5.25,0.1486,4,374.62,88.0,"{""ceramic_fiber"": 179.27, ""fumed_silica"": 18.22, ""graphene"": 1.01, ""gypsum"": 175.98}",22. k=0.00010 | $5.25/kg | 4 comp
23,0.0001,5.25,0.1486,4,389.3,88.0,"{""ceramic_fiber"": 186.57, ""fumed_silica"": 18.68, ""graphene"": 1.01, ""gypsum"": 182.89}",23. k=0.00010 | $5.25/kg | 4 comp
